2023-10-18 14:07:20.646 | DEBUG    | __main__:<module>:220 - Created log_output.log file
2023-10-18 14:07:25.088 | DEBUG    | __main__:<module>:220 - Created log_output.log file
2023-10-18 14:07:37.201 | DEBUG    | __main__:<module>:220 - Created log_output.log file
2023-10-18 14:07:37.202 | DEBUG    | __main__:connect_to_database:35 - Connected to the job_listings.db database
2023-10-18 14:07:37.205 | DEBUG    | __main__:connect_to_database:55 - job_listings table created
2023-10-18 14:07:37.205 | DEBUG    | __main__:task:240 - Checking New Linkedin Job postings for network engineer intern
2023-10-18 14:07:38.790 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Swire Coca-Cola, USA : Intern, Network Engineer
2023-10-18 14:07:39.169 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Commonwealth of Massachusetts : Network Engineer Intern
2023-10-18 14:07:39.440 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Trace3 : Network / Security Engineering Intern (Onsite)
2023-10-18 14:07:39.886 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Sentinel Technologies : Network Engineer Internship
2023-10-18 14:07:40.427 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Corteva Agriscience : Network Engineer Intern
2023-10-18 14:07:40.850 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved State of Massachusetts : Network Engineer Intern
2023-10-18 14:07:41.297 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Dawn Foods Global : Network Engineer Intern-Hybrid
2023-10-18 14:07:41.671 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved CACI International Inc : IT Network Engineer Intern – Fall 2023
2023-10-18 14:07:42.511 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Cboe Global Markets : NOC Support Intern
2023-10-18 14:07:42.915 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved City Utilities of Springfield : SpringNet Network Engineer Intern
2023-10-18 14:07:43.377 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved CACI International Inc : Network Engineer Intern – Summer 2024
2023-10-18 14:07:43.775 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Spectrum : 2024 Summer Intern: Network Engineer Intern - Spectrum Enterprise
2023-10-18 14:07:44.140 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Hewlett Packard Enterprise : Network Simulation Engineer Intern
2023-10-18 14:07:44.818 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Spectrum Real-Time Visual Solutions : Spectrum, 2024 Summer Intern: Network Engineer Intern - Spectrum Enterprise - Application via WayUp
2023-10-18 14:07:45.478 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Hewlett Packard Enterprise : Network Simulation Engineer Intern
2023-10-18 14:07:45.876 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Electric Power Engineers : Power Systems Intern - Early Submission
2023-10-18 14:07:46.278 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved ByteDance : Network Software Development Engineer Intern (SDN-Network Analytics) - 2024 Summer (MS)
2023-10-18 14:07:46.921 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved NetApp : Intern - Support & Services
2023-10-18 14:07:47.315 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved ByteDance : Network Software Development Engineer Intern (SDN-Network Analytics) - 2024 Summer (PHD)
2023-10-18 14:07:52.814 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Uline : Network Engineer Internship - Summer 2024
2023-10-18 14:07:53.237 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Uline : Network Engineer Internship - Summer 2024
2023-10-18 14:07:53.564 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Uline : Network Engineer Internship - Summer 2024
2023-10-18 14:07:54.075 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved McCormick & Company : Maintenance and Engineering Intern
2023-10-18 14:07:54.905 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Comcast : Tech Intern - Hardware Test and Validation Engineer (TPX)
2023-10-18 14:07:55.338 | DEBUG    | __main__:scrape_linkedin:184 - Retrieved Northrop Grumman : 2024 Intern, Electronics Engineer - Manhattan Beach, CA
